code,turnover_ratio,circulating_cap,circulating_market_cap,date,ret
300305.XSHE,0.3796,22959.6387,13.7528,2018-08-10,0.0066777963272120254
000663.XSHE,0.6695,19702.1348,13.7718,2018-08-10,0.0014306151645207133
603066.XSHG,0.7546,13757.79,13.7853,2018-08-10,-0.06187624750499013
002184.XSHE,3.5067,13586.7227,13.7905,2018-08-10,-0.02955665024630532
603839.XSHG,3.2227,10446.7998,13.8002,2018-08-10,-0.0037850113550339844
603535.XSHG,4.5645,6608.0,13.8041,2018-08-10,-0.02441359502154131
603938.XSHG,10.3823,5078.6602,13.814,2018-08-10,0.010294117647058737
002838.XSHE,0.5743,7530.7358,13.8566,2018-08-10,-0.00543478260869573
002762.XSHE,5.8941,18862.1895,13.8637,2018-08-10,-0.01496598639455787
603817.XSHG,0.3927,18000.0,13.878,2018-08-10,-0.0025940337224384514
603878.XSHG,1.2249,10101.0107,13.8788,2018-08-10,0.0014556040756913806
002209.XSHE,1.2869,19109.1602,13.9115,2018-08-10,0.004120879120879155
603313.XSHG,0.3392,8234.7041,13.9167,2018-08-10,0.004733727810650787
300095.XSHE,0.5434,22790.4004,13.9249,2018-08-10,-0.0049099836333877855
300022.XSHE,7.2391,32112.8926,13.937000000000001,2018-08-10,0.020737327188940058
000707.XSHE,0.8352,46414.4258,13.9707,2018-08-10,-0.009966777408637956
603528.XSHG,0.9634,18759.0,13.9755,2018-08-10,-0.0013422818791946026
601500.XSHG,0.7997,17491.9082,14.011,2018-08-10,0.0
300735.XSHE,4.2617,8868.0,14.0203,2018-08-10,-0.025932953826691862
603648.XSHG,4.5457,9216.6699,14.0462,2018-08-10,-0.003937007874015781
300330.XSHE,0.6645,16769.8066,14.0531,2018-08-10,-0.007159904534606051
002806.XSHE,6.6195,5769.1626,14.0652,2018-08-10,-0.009023789991796654
300063.XSHE,2.1718,41062.4023,14.0844,2018-08-10,0.008746355685131267
300645.XSHE,1.0415,4541.9097,14.089,2018-08-10,-0.010960670535138616
300513.XSHE,1.3555,6170.3838,14.1055,2018-08-10,-0.05555555555555554
002553.XSHE,0.5371,22072.3047,14.1263,2018-08-10,0.006250000000000006
600137.XSHG,1.829,9721.7588,14.1549,2018-08-10,0.010302197802197826
603586.XSHG,0.5315,10010.9111,14.1554,2018-08-10,0.0049504950495049705
002490.XSHE,4.3721,28877.4004,14.1788,2018-08-10,0.02036659877800418
300686.XSHE,13.9493,8807.2246,14.2237,2018-08-10,0.02043343653250764
002781.XSHE,0.6291,9159.8574,14.2253,2018-08-10,0.0057952350289761645
300481.XSHE,1.5168,11982.1504,14.2468,2018-08-10,0.005887300252312892
002713.XSHE,0.5114,7588.9111,14.2672,2018-08-10,0.005319148936170288
603189.XSHG,1.8295,11010.0,14.28,2018-08-10,-0.030840400925211918
603727.XSHG,2.6387,9487.0,14.2969,2018-08-10,0.012607830126078268
300120.XSHE,0.5668,21264.1914,14.3108,2018-08-10,-0.022288261515601704
603977.XSHG,0.321,17595.1992,14.3577,2018-08-10,0.007352941176470649
002569.XSHE,2.3941,13969.6348,14.3748,2018-08-10,0.00485908649173945
603127.XSHG,5.3799,2870.0,14.3844,2018-08-10,-0.017158818834796478
300286.XSHE,0.2591,16392.7012,14.3928,2018-08-10,-0.004555808656036552
600689.XSHG,3.3441,15220.4141,14.4137,2018-08-10,0.0010559662090812868
