fr,fru,frd,code,date
-0.12540452049345277,-0.6941225484249424,-0.30998133609102285,000158.XSHE,2018-08-21
0.1693833728475869,0.6903239444750922,-0.08243634375917618,000159.XSHE,2018-08-21
0.3649577370229898,0.4505101577758546,0.45534469829753704,000166.XSHE,2018-08-21
0.40864212311258513,0.1384439060594348,0.38951622349946285,000301.XSHE,2018-08-21
0.3181006708810695,0.5159697569678656,-0.21529120741675495,000338.XSHE,2018-08-21
0.376327831002905,0.09556944686659255,0.3222413772824609,000400.XSHE,2018-08-21
0.33023303319229,0.5934400817133717,-0.0684560484513252,000401.XSHE,2018-08-21
-0.027616611750805497,0.23156963265521557,0.22158429552881911,000402.XSHE,2018-08-21
0.20695822038921022,-0.07403174710963543,0.8872322722882665,000403.XSHE,2018-08-21
-0.04912042671955686,-0.02620735166223411,0.14629354680622983,000404.XSHE,2018-08-21
