日期,标的,数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,当日盈亏,今手数,仓位占比
2011/12/22,福建南纺(600483.XSHG),2300股,5.3,12190,-276,5.42,-276,2300股,12.10%
2011/12/22,Cash,,,1746.69,,,,,
2011/12/23,金融街(000402.XSHE),4600股,6.07,27922,584.58,5.94,138,0股,27.45%
2011/12/23,开滦股份(600997.XSHG),1600股,10.9,17440,-1501,11.84,-16,0股,17.15%
2011/12/23,上海汽车(600104.XSHG),1500股,14.03,21045,2010,12.69,555,0股,20.69%
2011/12/23,龙头股份(600630.XSHG),3700股,5.23,19351,-929.87,5.48,37,0股,19.02%
2011/12/23,浙江东方(600120.XSHG),2100股,7.37,15477,336,7.21,336,2100股,15.22%
2011/12/23,Cash,,,481.78,,,,,
2011/12/26,金融街(000402.XSHE),4600股,6.06,27876,538.58,5.94,-46,0股,27.49%
2011/12/26,开滦股份(600997.XSHG),1600股,10.94,17504,-1437,11.84,64,0股,17.26%
2011/12/26,上海汽车(600104.XSHG),1500股,14.01,21015,1980,12.69,-30,0股,20.73%
2011/12/26,龙头股份(600630.XSHG),3700股,5.19,19203,-1077.87,5.48,-148,0股,18.94%
2011/12/26,浙江东方(600120.XSHG),2100股,7.29,15309,168,7.21,-168,0股,15.10%
2011/12/26,Cash,,,481.78,,,,,
2011/12/27,金融街(000402.XSHE),4600股,5.97,27462,124.58,5.94,-414,0股,27.84%
2011/12/27,开滦股份(600997.XSHG),1600股,10.76,17216,-1725,11.84,-288,0股,17.45%
2011/12/27,上海汽车(600104.XSHG),1500股,13.44,20160,1125,12.69,-855,0股,20.44%
2011/12/27,龙头股份(600630.XSHG),3700股,4.97,18389,-1891.87,5.48,-814,0股,18.64%
2011/12/27,浙江东方(600120.XSHG),2100股,7.11,14931,-210,7.21,-378,0股,15.14%
2011/12/27,Cash,,,481.78,,,,,
2011/12/28,金融街(000402.XSHE),4600股,6,27600,262.58,5.94,138,0股,27.79%
2011/12/28,开滦股份(600997.XSHG),1600股,11.02,17632,-1309,11.84,416,0股,17.75%
2011/12/28,上海汽车(600104.XSHG),1500股,13.33,19995,960,12.69,-165,0股,20.13%
2011/12/28,浙江东方(600120.XSHG),2400股,7.22,17328,51,7.2,261,300股,17.45%
2011/12/28,冠城大通(600067.XSHG),2700股,6.11,16497,27,6.1,27,2700股,16.61%
2011/12/28,Cash,,,267.83,,,,,
2011/12/29,金融街(000402.XSHE),4600股,5.97,27462,124.58,5.94,-138,0股,27.64%
2011/12/29,开滦股份(600997.XSHG),1600股,10.96,17536,-1405,11.84,-96,0股,17.65%
2011/12/29,上海汽车(600104.XSHG),1500股,13.88,20820,1785,12.69,825,0股,20.95%
2011/12/29,浙江东方(600120.XSHG),2400股,7.09,17016,-261,7.2,-312,0股,17.13%
2011/12/29,冠城大通(600067.XSHG),2700股,6.02,16254,-216,6.1,-243,0股,16.36%
2011/12/29,Cash,,,267.83,,,,,
2011/12/30,金融街(000402.XSHE),4600股,6.05,27830,492.58,5.94,368,0股,27.64%
2011/12/30,开滦股份(600997.XSHG),1600股,11.14,17824,-1117,11.84,288,0股,17.70%
2011/12/30,上海汽车(600104.XSHG),1500股,14.14,21210,2175,12.69,390,0股,21.07%
2011/12/30,浙江东方(600120.XSHG),2400股,7.13,17112,-165,7.2,96,0股,17%
2011/12/30,冠城大通(600067.XSHG),2700股,6.09,16443,-27,6.1,189,0股,16.33%
2011/12/30,Cash,,,267.83,,,,,
2012/1/4,金融街(000402.XSHE),4500股,5.92,26640,-103.13,5.94,-585,0股,26.92%
2012/1/4,开滦股份(600997.XSHG),1500股,10.7,16050,-1707.19,11.84,-660,0股,16.22%
2012/1/4,上海汽车(600104.XSHG),1400股,14.16,19824,2058,12.69,28,0股,20.03%
2012/1/4,名流置业(000667.XSHE),10000股,2.16,21600,-300,2.19,-300,10000股,21.83%
2012/1/4,冠城大通(600067.XSHG),2400股,5.97,14328,-528,6.19,-528,2400股,14.48%
2012/1/4,Cash,,,506.01,,,,,
2012/1/5,金融街(000402.XSHE),4400股,5.93,26092,-56.83,5.94,44,0股,26.59%
2012/1/5,上海汽车(600104.XSHG),1300股,14.39,18707,2210,12.69,299,0股,19.06%
2012/1/5,名流置业(000667.XSHE),9600股,2.12,20352,-672,2.19,-384,0股,20.74%
2012/1/5,冠城大通(600067.XSHG),2700股,5.93,16011,-633,6.16,-105,300股,16.32%
2012/1/5,酒钢宏兴(600307.XSHG),4800股,3.53,16944,-432,3.62,-432,4800股,17.27%
2012/1/5,Cash,,,25.07,,,,,
2012/1/6,金融街(000402.XSHE),4400股,5.73,25212,-936.83,5.94,-880,0股,25.86%
2012/1/6,上海汽车(600104.XSHG),1300股,14.2,18460,1963,12.69,-247,0股,18.94%
2012/1/6,名流置业(000667.XSHE),9600股,2.13,20448,-576,2.19,96,0股,20.98%
2012/1/6,冠城大通(600067.XSHG),2700股,5.91,15957,-687,6.16,-54,0股,16.37%
2012/1/6,酒钢宏兴(600307.XSHG),4800股,3.62,17376,0,3.62,432,0股,17.83%
2012/1/6,Cash,,,25.07,,,,,
2012/1/9,金融街(000402.XSHE),4400股,5.86,25784,-364.83,5.94,572,0股,25.58%
2012/1/9,上汽集团(600104.XSHG),1300股,14.9,19370,2873,12.69,910,0股,19.22%
2012/1/9,名流置业(000667.XSHE),9600股,2.19,21024,0,2.19,576,0股,20.86%
2012/1/9,冠城大通(600067.XSHG),2700股,6.13,16551,-93,6.16,594,0股,16.42%
2012/1/9,酒钢宏兴(600307.XSHG),4800股,3.76,18048,672,3.62,672,0股,17.90%
2012/1/9,Cash,,,25.07,,,,,
2012/1/10,金融街(000402.XSHE),4600股,6,27600,281.17,5.94,646,200股,26.53%
2012/1/10,上汽集团(600104.XSHG),1300股,15.25,19825,3328,12.69,455,0股,19.06%
2012/1/10,名流置业(000667.XSHE),10400股,2.26,23504,736,2.19,736,800股,22.59%
2012/1/10,酒钢宏兴(600307.XSHG),5000股,3.94,19700,1566,3.63,894,200股,18.94%
2012/1/10,福建南纺(600483.XSHG),2300股,5.49,12627,575,5.24,575,2300股,12.14%
2012/1/10,Cash,,,783.54,,,,,
2012/1/11,金融街(000402.XSHE),4600股,5.96,27416,97.17,5.94,-184,0股,26.41%
2012/1/11,上汽集团(600104.XSHG),1300股,15.1,19630,3133,12.69,-195,0股,18.91%
2012/1/11,名流置业(000667.XSHE),10400股,2.23,23192,424,2.19,-312,0股,22.35%
2012/1/11,酒钢宏兴(600307.XSHG),5000股,4.01,20050,1916,3.63,350,0股,19.32%
2012/1/11,福建南纺(600483.XSHG),2300股,5.53,12719,667,5.24,92,0股,12.25%
2012/1/11,Cash,,,783.54,,,,,
2012/1/12,金融街(000402.XSHE),4600股,6,27600,281.17,5.94,184,0股,26.43%
2012/1/12,上汽集团(600104.XSHG),1300股,15.29,19877,3380,12.69,247,0股,19.04%
2012/1/12,名流置业(000667.XSHE),10400股,2.25,23400,632,2.19,208,0股,22.41%
2012/1/12,酒钢宏兴(600307.XSHG),5000股,3.96,19800,1666,3.63,-250,0股,18.96%
2012/1/12,福建南纺(600483.XSHG),2300股,5.63,12949,897,5.24,230,0股,12.40%
2012/1/12,Cash,,,783.54,,,,,
2012/1/13,金融街(000402.XSHE),4600股,5.89,27094,-224.83,5.94,-506,0股,26.69%
2012/1/13,上汽集团(600104.XSHG),1300股,14.69,19097,2600,12.69,-780,0股,18.81%
2012/1/13,名流置业(000667.XSHE),10400股,2.19,22776,8,2.19,-624,0股,22.43%
2012/1/13,酒钢宏兴(600307.XSHG),5000股,3.84,19200,1066,3.63,-600,0股,18.91%
2012/1/13,福建南纺(600483.XSHG),2300股,5.47,12581,529,5.24,-368,0股,12.39%
2012/1/13,Cash,,,783.54,,,,,
2012/1/16,金融街(000402.XSHE),4600股,5.8,26680,-638.83,5.94,-414,0股,26.56%
2012/1/16,上汽集团(600104.XSHG),1300股,14.39,18707,2210,12.69,-390,0股,18.62%
2012/1/16,名流置业(000667.XSHE),10400股,2.15,22360,-408,2.19,-416,0股,22.26%
2012/1/16,酒钢宏兴(600307.XSHG),5000股,3.85,19250,1116,3.63,50,0股,19.16%
2012/1/16,福建南纺(600483.XSHG),2300股,5.51,12673,621,5.24,92,0股,12.62%
2012/1/16,Cash,,,783.54,,,,,
2012/1/17,金融街(000402.XSHE),4600股,6,27600,281.17,5.94,920,0股,26.47%
2012/1/17,上汽集团(600104.XSHG),1300股,15.33,19929,3432,12.69,1222,0股,19.12%
2012/1/17,名流置业(000667.XSHE),10400股,2.23,23192,424,2.19,832,0股,22.25%
2012/1/17,酒钢宏兴(600307.XSHG),5000股,3.85,19250,1116,3.63,0,0股,18.46%
2012/1/17,福建南纺(600483.XSHG),2300股,5.87,13501,1449,5.24,828,0股,12.95%
2012/1/17,Cash,,,783.54,,,,,
2012/1/18,金融街(000402.XSHE),4600股,5.95,27370,51.17,5.94,-230,0股,26.25%
2012/1/18,上汽集团(600104.XSHG),1300股,15.21,19773,3276,12.69,-156,0股,18.96%
2012/1/18,名流置业(000667.XSHE),10400股,2.19,22776,8,2.19,-416,0股,21.84%
2012/1/18,酒钢宏兴(600307.XSHG),5000股,4.02,20100,1966,3.63,850,0股,19.27%
2012/1/18,福建南纺(600483.XSHG),2300股,5.86,13478,1426,5.24,-23,0股,12.92%
2012/1/18,Cash,,,783.54,,,,,
2012/1/19,金融街(000402.XSHE),4600股,6.06,27876,557.17,5.94,506,0股,26.31%
2012/1/19,上汽集团(600104.XSHG),1300股,15.46,20098,3601,12.69,325,0股,18.97%
2012/1/19,名流置业(000667.XSHE),10400股,2.22,23088,320,2.19,312,0股,21.79%
2012/1/19,酒钢宏兴(600307.XSHG),5000股,4.14,20700,2566,3.63,600,0股,19.54%
2012/1/19,福建南纺(600483.XSHG),2300股,5.83,13409,1357,5.24,-69,0股,12.66%
2012/1/19,Cash,,,783.54,,,,,
2012/1/20,金融街(000402.XSHE),4600股,6.17,28382,1063.17,5.94,506,0股,26.43%
2012/1/20,上汽集团(600104.XSHG),1300股,15.52,20176,3679,12.69,78,0股,18.79%
2012/1/20,名流置业(000667.XSHE),10400股,2.24,23296,528,2.19,208,0股,21.69%
2012/1/20,酒钢宏兴(600307.XSHG),5000股,4.23,21150,3016,3.63,450,0股,19.70%
2012/1/20,福建南纺(600483.XSHG),2300股,5.91,13593,1541,5.24,184,0股,12.66%
2012/1/20,Cash,,,783.54,,,,,
2012/1/30,金融街(000402.XSHE),4600股,6.01,27646,327.17,5.94,-736,0股,26.11%
2012/1/30,上汽集团(600104.XSHG),1300股,15.48,20124,3627,12.69,-52,0股,19.01%
2012/1/30,名流置业(000667.XSHE),10400股,2.23,23192,424,2.19,-104,0股,21.91%
2012/1/30,酒钢宏兴(600307.XSHG),5000股,4.12,20600,2466,3.63,-550,0股,19.46%
2012/1/30,福建南纺(600483.XSHG),2300股,5.88,13524,1472,5.24,-69,0股,12.77%
2012/1/30,Cash,,,783.54,,,,,
2012/1/31,金融街(000402.XSHE),4600股,6.03,27738,419.17,5.94,92,0股,26.31%
2012/1/31,上汽集团(600104.XSHG),1300股,15.09,19617,3120,12.69,-507,0股,18.61%
2012/1/31,名流置业(000667.XSHE),10400股,2.22,23088,320,2.19,-104,0股,21.90%
2012/1/31,酒钢宏兴(600307.XSHG),5000股,4.02,20100,1966,3.63,-500,0股,19.07%
2012/1/31,福建南纺(600483.XSHG),2300股,6.13,14099,2047,5.24,575,0股,13.37%
2012/1/31,Cash,,,783.54,,,,,
2012/2/1,金融街(000402.XSHE),4600股,6,27600,281.17,5.94,-138,0股,26.28%
2012/2/1,上汽集团(600104.XSHG),1300股,14.93,19409,2912,12.69,-208,0股,18.48%
2012/2/1,名流置业(000667.XSHE),10400股,2.21,22984,216,2.19,-104,0股,21.88%
2012/2/1,酒钢宏兴(600307.XSHG),5000股,3.97,19850,1716,3.63,-250,0股,18.90%
2012/2/1,福建南纺(600483.XSHG),2300股,6.26,14398,2346,5.24,299,0股,13.71%
2012/2/1,Cash,,,783.54,,,,,
2012/2/2,金融街(000402.XSHE),4600股,6.16,28336,1017.17,5.94,736,0股,26.59%
2012/2/2,上汽集团(600104.XSHG),1300股,15.22,19786,3289,12.69,377,0股,18.57%
2012/2/2,名流置业(000667.XSHE),10400股,2.22,23088,320,2.19,104,0股,21.67%
2012/2/2,酒钢宏兴(600307.XSHG),5000股,4.05,20250,2116,3.63,400,0股,19.01%
2012/2/2,福建南纺(600483.XSHG),2300股,6.22,14306,2254,5.24,-92,0股,13.43%
2012/2/2,Cash,,,783.54,,,,,
2012/2/3,金融街(000402.XSHE),4600股,6.19,28474,1155.17,5.94,138,0股,26.42%
2012/2/3,上汽集团(600104.XSHG),1300股,15.4,20020,3523,12.69,234,0股,18.58%
2012/2/3,名流置业(000667.XSHE),10400股,2.23,23192,424,2.19,104,0股,21.52%
2012/2/3,酒钢宏兴(600307.XSHG),5000股,4.08,20400,2266,3.63,150,0股,18.93%
2012/2/3,福建南纺(600483.XSHG),2300股,6.48,14904,2852,5.24,598,0股,13.83%
2012/2/3,Cash,,,783.54,,,,,
2012/2/6,金融街(000402.XSHE),4600股,6.17,28382,1063.17,5.94,-92,0股,26.51%
2012/2/6,上汽集团(600104.XSHG),1300股,15.25,19825,3328,12.69,-195,0股,18.52%
2012/2/6,名流置业(000667.XSHE),10400股,2.23,23192,424,2.19,0,0股,21.66%
2012/2/6,酒钢宏兴(600307.XSHG),5000股,4.08,20400,2266,3.63,0,0股,19.05%
2012/2/6,福建南纺(600483.XSHG),2300股,6.3,14490,2438,5.24,-414,0股,13.53%
2012/2/6,Cash,,,783.54,,,,,
2012/2/7,金融街(000402.XSHE),4600股,6.05,27830,511.17,5.94,-552,0股,26.45%
2012/2/7,上汽集团(600104.XSHG),1300股,15.22,19786,3289,12.69,-39,0股,18.80%
2012/2/7,名流置业(000667.XSHE),10400股,2.18,22672,-96,2.19,-520,0股,21.54%
2012/2/7,酒钢宏兴(600307.XSHG),5000股,3.99,19950,1816,3.63,-450,0股,18.96%
2012/2/7,福建南纺(600483.XSHG),2300股,6.18,14214,2162,5.24,-276,0股,13.51%
2012/2/7,Cash,,,783.54,,,,,
2012/2/8,金融街(000402.XSHE),4600股,6.18,28428,1109.17,5.94,598,0股,26.29%
2012/2/8,上汽集团(600104.XSHG),1300股,15.59,20267,3770,12.69,481,0股,18.74%
2012/2/8,名流置业(000667.XSHE),10400股,2.21,22984,216,2.19,312,0股,21.25%
2012/2/8,酒钢宏兴(600307.XSHG),5000股,4.1,20500,2366,3.63,550,0股,18.96%
2012/2/8,福建南纺(600483.XSHG),2300股,6.6,15180,3128,5.24,966,0股,14.04%
2012/2/8,Cash,,,783.54,,,,,
2012/2/9,金融街(000402.XSHE),4600股,6.31,29026,1707.17,5.94,598,0股,26.62%
2012/2/9,上汽集团(600104.XSHG),1300股,15.49,20137,3640,12.69,-130,0股,18.47%
2012/2/9,名流置业(000667.XSHE),10400股,2.26,23504,736,2.19,520,0股,21.55%
2012/2/9,酒钢宏兴(600307.XSHG),5000股,4.13,20650,2516,3.63,150,0股,18.94%
2012/2/9,福建南纺(600483.XSHG),2300股,6.5,14950,2898,5.24,-230,0股,13.71%
2012/2/9,Cash,,,783.54,,,,,
2012/2/10,金融街(000402.XSHE),4600股,6.33,29118,1799.17,5.94,92,0股,26.81%
2012/2/10,上汽集团(600104.XSHG),1300股,15.45,20085,3588,12.69,-52,0股,18.50%
2012/2/10,名流置业(000667.XSHE),10400股,2.26,23504,736,2.19,0,0股,21.64%
2012/2/10,酒钢宏兴(600307.XSHG),5000股,4.15,20750,2616,3.63,100,0股,19.11%
2012/2/10,福建南纺(600483.XSHG),2300股,6.24,14352,2300,5.24,-598,0股,13.22%
2012/2/10,Cash,,,783.54,,,,,
2012/2/13,金融街(000402.XSHE),4600股,6.22,28612,1293.17,5.94,-506,0股,26.46%
2012/2/13,上汽集团(600104.XSHG),1300股,15.76,20488,3991,12.69,403,0股,18.95%
2012/2/13,名流置业(000667.XSHE),10400股,2.24,23296,528,2.19,-208,0股,21.54%
2012/2/13,酒钢宏兴(600307.XSHG),5000股,4.11,20550,2416,3.63,-200,0股,19.01%
2012/2/13,福建南纺(600483.XSHG),2300股,6.26,14398,2346,5.24,46,0股,13.32%
2012/2/13,Cash,,,783.54,,,,,
2012/2/14,金融街(000402.XSHE),4600股,6.2,28520,1201.17,5.94,-92,0股,26.42%
2012/2/14,上汽集团(600104.XSHG),1300股,15.52,20176,3679,12.69,-312,0股,18.69%
2012/2/14,名流置业(000667.XSHE),10400股,2.27,23608,840,2.19,312,0股,21.87%
2012/2/14,酒钢宏兴(600307.XSHG),5000股,4.12,20600,2466,3.63,50,0股,19.08%
2012/2/14,福建南纺(600483.XSHG),2300股,6.2,14260,2208,5.24,-138,0股,13.21%
2012/2/14,Cash,,,783.54,,,,,
2012/2/15,金融街(000402.XSHE),4600股,6.24,28704,1385.17,5.94,184,0股,26.38%
2012/2/15,上汽集团(600104.XSHG),1300股,15.33,19929,3432,12.69,-247,0股,18.31%
2012/2/15,名流置业(000667.XSHE),10400股,2.3,23920,1152,2.19,312,0股,21.98%
2012/2/15,酒钢宏兴(600307.XSHG),5000股,4.2,21000,2866,3.63,400,0股,19.30%
2012/2/15,福建南纺(600483.XSHG),2300股,6.3,14490,2438,5.24,230,0股,13.31%
2012/2/15,Cash,,,783.54,,,,,
2012/2/16,金融街(000402.XSHE),4600股,6.19,28474,1155.17,5.94,-230,0股,26.40%
2012/2/16,上汽集团(600104.XSHG),1300股,15.1,19630,3133,12.69,-299,0股,18.20%
2012/2/16,名流置业(000667.XSHE),10400股,2.29,23816,1048,2.19,-104,0股,22.09%
2012/2/16,酒钢宏兴(600307.XSHG),5000股,4.17,20850,2716,3.63,-150,0股,19.33%
2012/2/16,福建南纺(600483.XSHG),2300股,6.21,14283,2231,5.24,-207,0股,13.25%
2012/2/16,Cash,,,783.54,,,,,
2012/2/17,金融街(000402.XSHE),4600股,6.2,28520,1201.17,5.94,46,0股,26.54%
2012/2/17,上汽集团(600104.XSHG),1300股,14.96,19448,2951,12.69,-182,0股,18.10%
2012/2/17,名流置业(000667.XSHE),10400股,2.28,23712,944,2.19,-104,0股,22.07%
2012/2/17,酒钢宏兴(600307.XSHG),5000股,4.17,20850,2716,3.63,0,0股,19.40%
2012/2/17,福建南纺(600483.XSHG),2300股,6.15,14145,2093,5.24,-138,0股,13.16%
2012/2/17,Cash,,,783.54,,,,,
2012/2/20,金融街(000402.XSHE),4600股,6.22,28612,1293.17,5.94,92,0股,26.52%
2012/2/20,上汽集团(600104.XSHG),1300股,15.1,19630,3133,12.69,182,0股,18.20%
2012/2/20,名流置业(000667.XSHE),10400股,2.3,23920,1152,2.19,208,0股,22.17%
2012/2/20,酒钢宏兴(600307.XSHG),5000股,4.15,20750,2616,3.63,-100,0股,19.23%
2012/2/20,福建南纺(600483.XSHG),2300股,6.17,14191,2139,5.24,46,0股,13.15%
2012/2/20,Cash,,,783.54,,,,,
2012/2/21,金融街(000402.XSHE),4600股,6.28,28888,1569.17,5.94,276,0股,26.53%
2012/2/21,上汽集团(600104.XSHG),1300股,15.28,19864,3367,12.69,234,0股,18.24%
2012/2/21,名流置业(000667.XSHE),10400股,2.33,24232,1464,2.19,312,0股,22.26%
2012/2/21,酒钢宏兴(600307.XSHG),5000股,4.17,20850,2716,3.63,100,0股,19.15%
2012/2/21,福建南纺(600483.XSHG),2300股,6.2,14260,2208,5.24,69,0股,13.10%
2012/2/21,Cash,,,783.54,,,,,
2012/2/22,金融街(000402.XSHE),4600股,6.42,29532,2213.17,5.94,644,0股,26.50%
2012/2/22,上汽集团(600104.XSHG),1300股,15.9,20670,4173,12.69,806,0股,18.55%
2012/2/22,名流置业(000667.XSHE),10400股,2.39,24856,2088,2.19,624,0股,22.31%
2012/2/22,酒钢宏兴(600307.XSHG),5000股,4.22,21100,2966,3.63,250,0股,18.94%
2012/2/22,福建南纺(600483.XSHG),2300股,6.3,14490,2438,5.24,230,0股,13%
2012/2/22,Cash,,,783.54,,,,,
2012/2/23,金融街(000402.XSHE),4600股,6.46,29716,2397.17,5.94,184,0股,26.56%
2012/2/23,上汽集团(600104.XSHG),1300股,15.93,20709,4212,12.69,39,0股,18.51%
2012/2/23,名流置业(000667.XSHE),10400股,2.38,24752,1984,2.19,-104,0股,22.12%
2012/2/23,酒钢宏兴(600307.XSHG),5000股,4.3,21500,3366,3.63,400,0股,19.22%
2012/2/23,福建南纺(600483.XSHG),2300股,6.27,14421,2369,5.24,-69,0股,12.89%
2012/2/23,Cash,,,783.54,,,,,
2012/2/24,金融街(000402.XSHE),4600股,6.85,31510,4191.17,5.94,1794,0股,27.04%
2012/2/24,上汽集团(600104.XSHG),1300股,16.01,20813,4316,12.69,104,0股,17.86%
2012/2/24,名流置业(000667.XSHE),10400股,2.61,27144,4376,2.19,2392,0股,23.30%
2012/2/24,酒钢宏兴(600307.XSHG),5000股,4.35,21750,3616,3.63,250,0股,18.67%
2012/2/24,福建南纺(600483.XSHG),2300股,6.31,14513,2461,5.24,92,0股,12.46%
2012/2/24,Cash,,,783.54,,,,,
2012/2/27,金融街(000402.XSHE),4600股,6.79,31234,3915.17,5.94,-276,0股,27.05%
2012/2/27,上汽集团(600104.XSHG),1300股,15.96,20748,4251,12.69,-65,0股,17.97%
2012/2/27,名流置业(000667.XSHE),10400股,2.55,26520,3752,2.19,-624,0股,22.97%
2012/2/27,酒钢宏兴(600307.XSHG),5000股,4.35,21750,3616,3.63,0,0股,18.84%
2012/2/27,福建南纺(600483.XSHG),2300股,6.27,14421,2369,5.24,-92,0股,12.49%
2012/2/27,Cash,,,783.54,,,,,
2012/2/28,金融街(000402.XSHE),4600股,6.8,31280,3961.17,5.94,46,0股,26.91%
2012/2/28,上汽集团(600104.XSHG),1300股,15.97,20761,4264,12.69,13,0股,17.86%
2012/2/28,名流置业(000667.XSHE),10400股,2.51,26104,3336,2.19,-416,0股,22.45%
2012/2/28,酒钢宏兴(600307.XSHG),5000股,4.65,23250,5116,3.63,1500,0股,20%
2012/2/28,福建南纺(600483.XSHG),2300股,6.12,14076,2024,5.24,-345,0股,12.11%
2012/2/28,Cash,,,783.54,,,,,
2012/2/29,金融街(000402.XSHE),4400股,6.54,28776,2644.94,5.94,-1144,0股,25.35%
2012/2/29,上汽集团(600104.XSHG),1300股,15.77,20501,4004,12.69,-260,0股,18.06%
2012/2/29,名流置业(000667.XSHE),11500股,2.42,27830,2356,2.22,-980,1100股,24.51%
2012/2/29,酒钢宏兴(600307.XSHG),5000股,4.65,23250,5116,3.63,0,0股,20.48%
2012/2/29,兴蓉投资(000598.XSHE),1400股,9.01,12614,-266,9.2,-266,1400股,11.11%
2012/2/29,Cash,,,553.15,,,,,
2012/3/1,金融街(000402.XSHE),4400股,6.6,29040,2908.94,5.94,264,0股,25.57%
2012/3/1,上汽集团(600104.XSHG),1300股,15.82,20566,4069,12.69,65,0股,18.11%
2012/3/1,名流置业(000667.XSHE),11500股,2.45,28175,2701,2.22,345,0股,24.81%
2012/3/1,酒钢宏兴(600307.XSHG),5000股,4.51,22550,4416,3.63,-700,0股,19.86%
2012/3/1,兴蓉投资(000598.XSHE),1400股,9.05,12670,-210,9.2,56,0股,11.16%
2012/3/1,Cash,,,553.15,,,,,
2012/3/2,金融街(000402.XSHE),4400股,6.87,30228,4096.94,5.94,1188,0股,25.85%
2012/3/2,上汽集团(600104.XSHG),1300股,16.38,21294,4797,12.69,728,0股,18.21%
2012/3/2,名流置业(000667.XSHE),11500股,2.54,29210,3736,2.22,1035,0股,24.98%
2012/3/2,酒钢宏兴(600307.XSHG),5000股,4.55,22750,4616,3.63,200,0股,19.45%
2012/3/2,兴蓉投资(000598.XSHE),1400股,9.22,12908,28,9.2,238,0股,11.04%
2012/3/2,Cash,,,553.15,,,,,
2012/3/5,金融街(000402.XSHE),4400股,6.75,29700,3568.94,5.94,-528,0股,25.90%
2012/3/5,上汽集团(600104.XSHG),1300股,16,20800,4303,12.69,-494,0股,18.14%
2012/3/5,名流置业(000667.XSHE),11500股,2.49,28635,3161,2.22,-575,0股,24.97%
2012/3/5,酒钢宏兴(600307.XSHG),5000股,4.44,22200,4066,3.63,-550,0股,19.36%
2012/3/5,兴蓉投资(000598.XSHE),1400股,9.14,12796,-84,9.2,-112,0股,11.16%
2012/3/5,Cash,,,553.15,,,,,
2012/3/6,金融街(000402.XSHE),4400股,6.78,29832,3700.94,5.94,132,0股,26.39%
2012/3/6,上汽集团(600104.XSHG),1300股,16.04,20852,4355,12.69,52,0股,18.45%
2012/3/6,名流置业(000667.XSHE),11500股,2.43,27945,2471,2.22,-690,0股,24.72%
2012/3/6,酒钢宏兴(600307.XSHG),5000股,4.3,21500,3366,3.63,-700,0股,19.02%
2012/3/6,兴蓉投资(000598.XSHE),1400股,8.83,12362,-518,9.2,-434,0股,10.94%
2012/3/6,Cash,,,553.15,,,,,
2012/3/7,金融街(000402.XSHE),4400股,6.67,29348,3216.94,5.94,-484,0股,26.08%
2012/3/7,上汽集团(600104.XSHG),1300股,16.09,20917,4420,12.69,65,0股,18.59%
2012/3/7,名流置业(000667.XSHE),11500股,2.41,27715,2241,2.22,-230,0股,24.63%
2012/3/7,酒钢宏兴(600307.XSHG),5000股,4.34,21700,3566,3.63,200,0股,19.28%
2012/3/7,兴蓉投资(000598.XSHE),1400股,8.78,12292,-588,9.2,-70,0股,10.92%
2012/3/7,Cash,,,553.15,,,,,
2012/3/8,金融街(000402.XSHE),4400股,6.73,29612,3480.94,5.94,264,0股,26.11%
2012/3/8,上汽集团(600104.XSHG),1300股,16.21,21073,4576,12.69,156,0股,18.58%
2012/3/8,名流置业(000667.XSHE),11500股,2.44,28060,2586,2.22,345,0股,24.74%
2012/3/8,酒钢宏兴(600307.XSHG),5000股,4.33,21650,3516,3.63,-50,0股,19.09%
2012/3/8,兴蓉投资(000598.XSHE),1400股,8.9,12460,-420,9.2,168,0股,10.99%
2012/3/8,Cash,,,553.15,,,,,
2012/3/9,金融街(000402.XSHE),4400股,6.71,29524,3392.94,5.94,-88,0股,25.98%
2012/3/9,上汽集团(600104.XSHG),1300股,16.21,21073,4576,12.69,0,0股,18.54%
2012/3/9,名流置业(000667.XSHE),11500股,2.45,28175,2701,2.22,115,0股,24.79%
2012/3/9,酒钢宏兴(600307.XSHG),5000股,4.35,21750,3616,3.63,100,0股,19.14%
2012/3/9,兴蓉投资(000598.XSHE),1400股,8.98,12572,-308,9.2,112,0股,11.06%
2012/3/9,Cash,,,553.15,,,,,
2012/3/12,金融街(000402.XSHE),4400股,6.6,29040,2908.94,5.94,-484,0股,25.90%
2012/3/12,上汽集团(600104.XSHG),1300股,15.88,20644,4147,12.69,-429,0股,18.41%
2012/3/12,名流置业(000667.XSHE),11500股,2.42,27830,2356,2.22,-345,0股,24.82%
2012/3/12,酒钢宏兴(600307.XSHG),5000股,4.32,21600,3466,3.63,-150,0股,19.26%
2012/3/12,兴蓉投资(000598.XSHE),1400股,8.91,12474,-406,9.2,-98,0股,11.12%
2012/3/12,Cash,,,553.15,,,,,
2012/3/13,金融街(000402.XSHE),4400股,6.64,29216,3084.94,5.94,176,0股,25.86%
2012/3/13,上汽集团(600104.XSHG),1300股,15.82,20566,4069,12.69,-78,0股,18.20%
2012/3/13,名流置业(000667.XSHE),11500股,2.44,28060,2586,2.22,230,0股,24.83%
2012/3/13,酒钢宏兴(600307.XSHG),5000股,4.36,21800,3666,3.63,200,0股,19.29%
2012/3/13,兴蓉投资(000598.XSHE),1400股,9.14,12796,-84,9.2,322,0股,11.32%
2012/3/13,Cash,,,553.15,,,,,
2012/3/14,金融街(000402.XSHE),4400股,6.4,28160,2028.94,5.94,-1056,0股,25.81%
