日期,标的,数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,当日盈亏,今手数,仓位占比
2017/3/29,长城汽车(601633.XSHG),7000股,12.47,87290,22907,9.2,-350,0股,30.76%
2017/3/29,长信科技(300088.XSHE),2200股,15.8,34760,11198,10.71,0,0股,12.25%
2017/3/29,Cash,,,58720.02,,,,,
2017/3/30,长春高新(000661.XSHE),600股,112.23,67338,9847,95.82,-1050,0股,23.91%
2017/3/30,尚荣医疗(002551.XSHE),1900股,17.49,33231,-1750,18.41,-1368,0股,11.80%
2017/3/30,长城汽车(601633.XSHG),7000股,12.52,87640,23257,9.2,350,0股,31.11%
2017/3/30,长信科技(300088.XSHE),2200股,15.8,34760,11198,10.71,0,0股,12.34%
2017/3/30,Cash,,,58720.02,,,,,
2017/3/31,长春高新(000661.XSHE),600股,110,66000,8509,95.82,-1338,0股,23.49%
2017/3/31,尚荣医疗(002551.XSHE),1900股,17.62,33478,-1503,18.41,247,0股,11.91%
2017/3/31,长城汽车(601633.XSHG),7000股,12.58,88060,23677,9.2,420,0股,31.34%
2017/3/31,长信科技(300088.XSHE),2200股,15.8,34760,11198,10.71,0,0股,12.37%
2017/3/31,Cash,,,58720.02,,,,,
2017/4/5,长春高新(000661.XSHE),600股,110,66000,8509,95.82,0,0股,22.75%
2017/4/5,尚荣医疗(002551.XSHE),1900股,17.73,33687,-1294,18.41,209,0股,11.61%
2017/4/5,长城汽车(601633.XSHG),7000股,13.84,96880,32497,9.2,8820,0股,33.40%
2017/4/5,长信科技(300088.XSHE),2200股,15.8,34760,11198,10.71,0,0股,11.98%
2017/4/5,Cash,,,58720.02,,,,,
2017/4/6,长春高新(000661.XSHE),600股,112.11,67266,9775,95.82,1266,0股,23.44%
2017/4/6,尚荣医疗(002551.XSHE),1900股,17.74,33706,-1275,18.41,19,0股,11.74%
2017/4/6,长城汽车(601633.XSHG),7000股,13.22,92540,28157,9.2,-4340,0股,32.24%
2017/4/6,长信科技(300088.XSHE),2200股,15.8,34760,11198,10.71,0,0股,12.11%
2017/4/6,Cash,,,58720.02,,,,,
2017/4/7,长春高新(000661.XSHE),600股,110.2,66120,8629,95.82,-1146,0股,23.11%
2017/4/7,尚荣医疗(002551.XSHE),1900股,17.7,33630,-1351,18.41,-76,0股,11.76%
2017/4/7,长城汽车(601633.XSHG),7000股,13.26,92820,28437,9.2,280,0股,32.45%
2017/4/7,长信科技(300088.XSHE),2200股,15.8,34760,11198,10.71,0,0股,12.15%
2017/4/7,Cash,,,58720.02,,,,,
2017/4/10,长春高新(000661.XSHE),600股,110.6,66360,8869,95.82,240,0股,22.88%
2017/4/10,尚荣医疗(002551.XSHE),1900股,17.37,33003,-1978,18.41,-627,0股,11.38%
2017/4/10,长城汽车(601633.XSHG),7000股,13.88,97160,32777,9.2,4340,0股,33.50%
2017/4/10,长信科技(300088.XSHE),2200股,15.8,34760,11198,10.71,0,0股,11.99%
2017/4/10,Cash,,,58720.02,,,,,
2017/4/11,长春高新(000661.XSHE),600股,108.5,65100,7609,95.82,-1260,0股,21.97%
2017/4/11,尚荣医疗(002551.XSHE),1900股,17.49,33231,-1750,18.41,228,0股,11.22%
2017/4/11,长城汽车(601633.XSHG),7000股,14.92,104440,40057,9.2,7280,0股,35.25%
