日期,委托时间,标的,交易类型,成交数量,成交价,成交额,委托数量,平仓盈亏,手续费,,
2010/12/10,9:30:00,东方创业(600278.XSHG),买,2500股,12.06,30150,2500股,0,9.04,,
2011/1/6,9:30:00,海南椰岛(600238.XSHG),卖,-1800股,16.47,-29646,-1800股,18,38.54,,
2011/1/6,9:30:00,山推股份(000680.XSHE),卖,-200股,18.31,-3662,-200股,1380,8.66,,
2011/1/6,9:30:00,皖能电力(000543.XSHE),买,500股,6.91,3455,500股,0,5,,
2011/1/6,9:30:00,宜华木业(600978.XSHG),买,500股,6.24,3120,500股,0,5,,
2011/1/6,9:30:00,冀中能源(000937.XSHE),买,600股,43.44,26064,600股,0,7.82,,
2011/1/17,9:30:00,冀中能源(000937.XSHE),卖,-600股,36.51,-21906,-600股,-4158,28.48,,
2011/1/17,9:30:00,山推股份(000680.XSHE),卖,-200股,16.6,-3320,-200股,1038,8.32,,
2011/1/17,9:30:00,皖能电力(000543.XSHE),卖,-600股,6.64,-3984,-600股,-37.02,8.98,,
2011/1/17,9:30:00,东方创业(600278.XSHG),卖,-300股,10.86,-3258,-300股,-360,8.26,,
2011/1/17,9:30:00,日照港(600017.XSHG),买,8600股,4.02,34572,8600股,0,10.37,,
2011/1/18,9:30:00,东方创业(600278.XSHG),卖,-2200股,10.4,-22880,-2200股,-3652,29.74,,
2011/1/18,9:30:00,山推股份(000680.XSHE),卖,-100股,15.64,-1564,-100股,423,6.56,,
2011/1/18,9:30:00,皖能电力(000543.XSHE),卖,-200股,6.47,-1294,-200股,-46.34,6.29,,
2011/1/18,9:30:00,宜华木业(600978.XSHG),卖,-700股,5.77,-4039,-700股,475.87,9.04,,
2011/1/18,9:30:00,日照港(600017.XSHG),买,500股,3.9,1950,500股,0,5,,
2011/1/18,9:30:00,太钢不锈(000825.XSHE),买,5200股,5.31,27612,5200股,0,8.28,,
2011/1/19,9:30:00,太钢不锈(000825.XSHE),卖,-5200股,5.29,-27508,-5200股,-104,35.76,,
2011/1/19,9:30:00,皖能电力(000543.XSHE),买,100股,6.47,647,100股,0,5,,
2011/1/19,9:30:00,日照港(600017.XSHG),买,400股,3.89,1556,400股,0,5,,
2011/1/19,9:30:00,开滦股份(600997.XSHG),买,1300股,18.81,24453,1300股,0,7.34,,
2011/2/10,9:30:00,开滦股份(600997.XSHG),卖,-1300股,18.02,-23426,-1300股,-1027,30.45,,
2011/2/10,9:30:00,山推股份(000680.XSHE),卖,-200股,17.16,-3432,-200股,1150,8.43,,
2011/2/10,9:30:00,皖能电力(000543.XSHE),卖,-200股,6.57,-1314,-200股,-25.33,6.31,,
2011/2/10,9:30:00,宜华木业(600978.XSHG),卖,-400股,5.99,-2396,-400股,359.92,7.4,,
2011/2/10,9:30:00,日照港(600017.XSHG),卖,-400股,3.92,-1568,-400股,-35.28,6.57,,
2011/2/10,9:30:00,武钢股份(600005.XSHG),买,7700股,4.32,33264,7700股,0,9.98,,
2011/4/28,9:30:00,宜华木业(600978.XSHG),卖,-4100股,5.86,-24026,-4100股,3156.21,31.23,,
2011/4/28,9:30:00,山推股份(000680.XSHE),卖,-200股,21.01,-4202,-200股,1920,9.2,,
2011/4/28,9:30:00,皖能电力(000543.XSHE),卖,-1100股,9.64,-10604,-1100股,3237.67,15.6,,
2011/4/28,9:30:00,日照港(600017.XSHG),买,400股,4.52,1808,400股,0,5,,
2011/4/28,9:30:00,武钢股份(600005.XSHG),买,1800股,4.71,8478,1800股,0,5,,
2011/4/28,9:30:00,西飞国际(000768.XSHE),买,2600股,10.75,27950,2600股,0,8.38,,
2011/8/8,9:30:00,武钢股份(600005.XSHG),卖,-9500股,3.79,-36005,-9500股,-4787,46.81,,
2011/8/8,9:30:00,皖能电力(000543.XSHE),卖,-600股,7.19,-4314,-600股,308,9.31,,
2011/8/8,9:30:00,山推股份(000680.XSHE),买,100股,15.17,1517,100股,0,5,,
2011/8/8,9:30:00,日照港(600017.XSHG),买,400股,3.8,1520,400股,0,5,,
2011/8/8,9:30:00,西飞国际(000768.XSHE),买,800股,11.49,9192,800股,0,5,,
2011/8/8,9:30:00,一汽富维(600742.XSHG),买,1000股,27.69,27690,1000股,0,8.31,,
